name,image,,,,,,,,,,,,
Brad Currie,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/93065.png,,,,,,,,,,,,
Chris Greaves,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/71106.png,,,,,,,,,,,,
Chris Sole,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64634.png,,,,,,,,,,,,
Jack Jarvis,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87875.png,,,,,,,,,,,,
Mark Watt,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64635.png,,,,,,,,,,,,
Safyaan Sharif,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/56957.png,,,,,,,,,,,,
Hiri Hiri,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64609.png,,,,,,,,,,,,
Lega Siaka,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60058.png,,,,,,,,,,,,
Tony Ura,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4434.png,,,,,,,,,,,,
Assad Vala,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/58613.png,,,,,,,,,,,,
Charles Amini,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4412.png,,,,,,,,,,,,
Sese Bau,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/61329.png,,,,,,,,,,,,
Hila Vare,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/95589.png,,,,,,,,,,,,
Kiplin Doriga,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64604.png,,,,,,,,,,,,
Alei Nao,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63123.png,,,,,,,,,,,,
Chad Soper,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63207.png,,,,,,,,,,,,
Jack Gardner,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87603.png,,,,,,,,,,,,
John Kariko,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90885.png,,,,,,,,,,,,
Kabua Morea,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63135.png,,,,,,,,,,,,
Norman Vanua,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63137.png,,,,,,,,,,,,
Semo Kamea,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68129.png,,,,,,,,,,,,
Babar Azam,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/59429.png,,,,,,,,,,,,
Fakhar Zaman,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57492.png,,,,,,,,,,,,
Saim Ayub,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70241.png,,,,,,,,,,,,
